,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
30,saint george,37.1,-113.58,32.84,30.05,32.0,33.33,27,4.6,1,US,-21600
31,katsuura,35.13,140.3,22.46,26.36,21.67,22.78,92,0.47,100,JP,32400
33,aklavik,68.22,-135.01,12.0,7.99,12.0,12.0,62,4.1,75,CA,-21600
34,suntar,62.14,117.63,14.73,14.53,14.73,14.73,82,1.03,34,RU,32400
35,mahebourg,-20.41,57.7,20.0,14.26,20.0,20.0,52,8.2,75,MU,14400
36,dikson,73.51,80.55,5.42,1.53,5.42,5.42,87,3.52,21,RU,25200
37,carnarvon,-24.87,113.63,17.0,16.51,17.0,17.0,100,4.1,0,AU,28800
38,burgeo,47.62,-57.62,17.61,16.58,17.61,17.61,78,3.14,91,CA,-9000
39,machinga,-15.17,35.3,15.1,13.61,15.1,15.1,71,2.15,76,MW,7200
40,vaini,-21.2,-175.2,20.0,22.23,20.0,20.0,100,2.1,75,TO,46800
41,bethel,41.37,-73.41,28.01,30.84,27.0,28.89,78,4.1,1,US,-14400
42,bossier city,32.52,-93.73,31.53,35.04,31.0,32.22,59,2.1,1,US,-18000
43,coaticook,45.13,-71.8,23.23,25.54,22.78,23.89,83,2.1,75,CA,-14400
44,nacala,-14.54,40.67,21.68,20.87,21.68,21.68,72,4.22,22,MZ,7200
45,asau,46.43,26.4,16.67,17.78,16.67,16.67,96,1.27,67,RO,10800
46,atuona,-9.8,-139.03,25.73,23.11,25.73,25.73,74,9.54,6,PF,-34200
47,kloulklubed,7.04,134.26,25.0,29.75,25.0,25.0,94,1.5,40,PW,32400
48,rikitea,-23.12,-134.97,19.31,14.22,19.31,19.31,66,8.51,3,PF,-32400
49,chuy,-33.7,-53.46,19.15,19.72,19.15,19.15,94,3.27,100,UY,-10800
50,cape town,-33.93,18.42,16.25,15.11,15.56,17.22,77,2.6,0,ZA,7200
51,avarua,-21.21,-159.78,23.0,26.77,23.0,23.0,100,2.1,2,CK,-36000
54,dokri,27.37,68.1,39.83,39.61,39.83,39.83,27,3.87,0,PK,18000
55,quthing,-30.4,27.7,7.81,4.96,7.81,7.81,45,0.6,0,LS,7200
56,albany,42.6,-73.97,27.28,31.7,25.56,28.89,82,1.94,62,US,-14400
57,vanimo,-2.67,141.3,25.48,29.29,25.48,25.48,86,2.02,46,PG,36000
58,te anau,-45.42,167.72,1.34,-1.9,1.34,1.34,88,1.7,47,NZ,43200
59,palmerston,-12.49,130.98,19.62,18.94,17.22,22.0,73,3.1,34,AU,34200
60,tuktoyaktuk,69.45,-133.04,11.0,6.72,11.0,11.0,76,5.1,75,CA,-21600
61,constitucion,-35.33,-72.42,11.83,9.76,11.83,11.83,66,1.55,32,CL,-14400
